使用者名稱,所屬群,使用者類型,綁定方式,綁定帳號,認證密碼,同時使用,帳號計費,計費方式,帳號開通日期,帳號停用日期,帳號有效時間,使用者狀態,IP位址,MAC位址
zu1 , ,組, , , , , , , , , , , ,
zu1-1 ,zu1 ,組, , , , , , , , , , , ,
zu2 , ,組, , , , , , , , , , , ,
zu2-1 ,zu2 ,組, , , , , , , , , , , ,
zu3 , ,組, , , , , , , , , , , ,
zu4 , ,組, , , , , , , , , , , ,
zu5 , ,組, , , , , , , , , , , ,
zu6 , ,組, , , , , , , , , , , ,
zu7 , ,組, , , , , , , , , , , ,
zu8 , ,組, , , , , , , , , , , ,
zu9 , ,組, , , , , , , , , , , ,
zu10 , ,組, , , , , , , , , , , ,
zu11 , ,組, , , , , , , , , , , ,
zu12 , ,組, , , , , , , , , , , ,
zu13 , ,組, , , , , , , , , , , ,
zu14 , ,組, , , , , , , , , , , ,
zu15 , ,組, , , , , , , , , , , ,
zu16 , ,組, , , , , , , , , , , ,
zu17 , ,組, , , , , , , , , , , ,
zu18 , ,組, , , , , , , , , , , ,
zu19 , ,組, , , , , , , , , , , ,
zu20 , ,組, , , , , , , , , , , ,
zu21 , ,組, , , , , , , , , , , ,
zu22 , ,組, , , , , , , , , , , ,
zu23 , ,組, , , , , , , , , , , ,
zu24 , ,組, , , , , , , , , , , ,
zu25 , ,組, , , , , , , , , , , ,
zu26 , ,組, , , , , , , , , , , ,
zu27 , ,組, , , , , , , , , , , ,
zu28 , ,組, , , , , , , , , , , ,
zu29 , ,組, , , , , , , , , , , ,
zu30 , ,組, , , , , , , , , , , ,
zu31 , ,組, , , , , , , , , , , ,
zu32 , ,組, , , , , , , , , , , ,
zu33 , ,組, , , , , , , , , , , ,
zu34 , ,組, , , , , , , , , , , ,
zu35 , ,組, , , , , , , , , , , ,
zu36 , ,組, , , , , , , , , , , ,
zu37 , ,組, , , , , , , , , , , ,
zu38 , ,組, , , , , , , , , , , ,
zu39 , ,組, , , , , , , , , , , ,
zu40 , ,組, , , , , , , , , , , ,
zu41 , ,組, , , , , , , , , , , ,
zu42 , ,組, , , , , , , , , , , ,
zu43 , ,組, , , , , , , , , , , ,
zu44 , ,組, , , , , , , , , , , ,
zu45 , ,組, , , , , , , , , , , ,
zu46 , ,組, , , , , , , , , , , ,
zu47 , ,組, , , , , , , , , , , ,
zu48 , ,組, , , , , , , , , , , ,
zu49 , ,組, , , , , , , , , , , ,
zu50 , ,組, , , , , , , , , , , ,
zu51 , ,組, , , , , , , , , , , ,
zu52 , ,組, , , , , , , , , , , ,
zu53 , ,組, , , , , , , , , , , ,
zu54 , ,組, , , , , , , , , , , ,
zu55 , ,組, , , , , , , , , , , ,
zu56 , ,組, , , , , , , , , , , ,
zu57 , ,組, , , , , , , , , , , ,
zu58 , ,組, , , , , , , , , , , ,
zu59 , ,組, , , , , , , , , , , ,
zu60 , ,組, , , , , , , , , , , ,
zu61 , ,組, , , , , , , , , , , ,
zu62 , ,組, , , , , , , , , , , ,
zu63 , ,組, , , , , , , , , , , ,
zu64 , ,組, , , , , , , , , , , ,
zu65 , ,組, , , , , , , , , , , ,
zu66 , ,組, , , , , , , , , , , ,
zu67 , ,組, , , , , , , , , , , ,
zu68 , ,組, , , , , , , , , , , ,
zu69 , ,組, , , , , , , , , , , ,
zu70 , ,組, , , , , , , , , , , ,
zu71 , ,組, , , , , , , , , , , ,
zu72 , ,組, , , , , , , , , , , ,
zu73 , ,組, , , , , , , , , , , ,
zu74 , ,組, , , , , , , , , , , ,
zu75 , ,組, , , , , , , , , , , ,
zu76 , ,組, , , , , , , , , , , ,
zu77 , ,組, , , , , , , , , , , ,
zu78 , ,組, , , , , , , , , , , ,
zu79 , ,組, , , , , , , , , , , ,
zu80 , ,組, , , , , , , , , , , ,
zu81 , ,組, , , , , , , , , , , ,
zu82 , ,組, , , , , , , , , , , ,
zu83 , ,組, , , , , , , , , , , ,
zu84 , ,組, , , , , , , , , , , ,
zu85 , ,組, , , , , , , , , , , ,
zu86 , ,組, , , , , , , , , , , ,
zu87 , ,組, , , , , , , , , , , ,
zu88 , ,組, , , , , , , , , , , ,
zu89 , ,組, , , , , , , , , , , ,
zu90 , ,組, , , , , , , , , , , ,
zu91 , ,組, , , , , , , , , , , ,
zu92 , ,組, , , , , , , , , , , ,
zu93 , ,組, , , , , , , , , , , ,
zu94 , ,組, , , , , , , , , , , ,
zu95 , ,組, , , , , , , , , , , ,
zu96 , ,組, , , , , , , , , , , ,
zu97 , ,組, , , , , , , , , , , ,
zu98 , ,組, , , , , , , , , , , ,
zu99 , ,組, , , , , , , , , , , ,
zu100 , ,組, , , , , , , , , , , ,
zu101 , ,組, , , , , , , , , , , ,
zu102 , ,組, , , , , , , , , , , ,
zu103 , ,組, , , , , , , , , , , ,
zu104 , ,組, , , , , , , , , , , ,
zu105 , ,組, , , , , , , , , , , ,
zu106 , ,組, , , , , , , , , , , ,
zu107 , ,組, , , , , , , , , , , ,
zu108 , ,組, , , , , , , , , , , ,
zu109 , ,組, , , , , , , , , , , ,
zu110 , ,組, , , , , , , , , , , ,
zu111 , ,組, , , , , , , , , , , ,
zu112 , ,組, , , , , , , , , , , ,
zu113 , ,組, , , , , , , , , , , ,
zu114 , ,組, , , , , , , , , , , ,
zu115 , ,組, , , , , , , , , , , ,
zu116 , ,組, , , , , , , , , , , ,
zu117 , ,組, , , , , , , , , , , ,
zu118 , ,組, , , , , , , , , , , ,
zu119 , ,組, , , , , , , , , , , ,
zu120 , ,組, , , , , , , , , , , ,
zu121 , ,組, , , , , , , , , , , ,
zu122 , ,組, , , , , , , , , , , ,
zu123 , ,組, , , , , , , , , , , ,
zu124 , ,組, , , , , , , , , , , ,
SelfComputer,zu1,一般使用者,IP, , , , , , , , , ,192.168.51.152 , ,
webtest1,zu1,WEB認證使用者, ,webtest1,webtest1,1,off,,,,0, , , 
